Question,Answer
What is determined by Abel–Goncharov interpolation?,A polynomial such that various higher derivatives are the same as those of a given function at given points.
"What is the Abel–Plana formula, and how does it relate to Euler's summation formula?","The Abel–Plana formula is a mathematical identity that expresses an infinite series in terms of an integral plus two correction terms, which can be used to sum divergent series. It is closely related to Euler's summation formula, but with additional terms involving complex exponentials, and it provides a powerful tool for analyzing the convergence properties of infinite series."
What is the convergence rate of the Aberth method?,"The convergence rate of the Aberth method is cubic, an improvement over the Durand–Kerner method which converges quadratically."
What happens to every embedding of a complex line into the complex affine plane?,It extends to an automorphism of the plane.
What is the relationship between the minimum number of generators of G/p(G) and the genus g of C in Abhyankar's conjecture?,"n ≤ s + 2g, where n is the minimum number of generators of G/p(G), s is the number of points outside which π is unramified, and g is the genus of C."
"What does Abhyankar's inequality state about the relationship between the transcendence degree of a valued field extension K/k, the transcendence degree of its residue field extension, and the rank of the quotient of the valuation groups?",It states that the transcendence degree of K/k is at least the sum of the transcendence degree of the residue field extension and the rank of the quotient of the valuation groups.
What condition on ramification indices a and b must be met for Abhyankar's lemma to hold?,The ramification index b must divide the ramification index a.
"What is the Riemann Hypothesis, a problem mentioned in Abigail Thompson's letter?",The Riemann Hypothesis is a conjecture about the distribution of prime numbers that was first proposed by Bernhard Riemann in 1859 and remains one of the most famous unsolved problems in mathematics.
"What is a property that can be measured using the principles described in Abraham Fletcher's work ""The Universal Measurer""?","The volume, area, or length of various figures such as spheres, cones, pyramids, cylinders, prisms, and polygons including rectangles, triangles, circles, ellipses, etc."
What is the mathematical concept that Gelbart founded with Lipman Bers?,The theory of pseudoanalytic functions in fluid dynamics.
What is the relationship between the number of sides a polygon has and the number of angles it has?,"A polygon with 'n' sides will have exactly 'n' angles, where each interior angle is equal to 180(n-2)/n degrees."
"What mathematical operation could Abraham Stern's mechanical calculator perform, which was perfected in 1817?",It could calculate the square roots of numbers.
What is a sequence with 2n-1 elements from Z/nZ that contains n terms summing to zero?,"A sequence of $2n-1\ $ elements of $\mathbb {Z} /n\mathbb {Z}$ was proved by Erdős, Ginzburg and Ziv to always contain $n$ terms that sum to zero."
What is the mathematical concept that Abraham Robertson worked on which led to him being elected a fellow in the Royal Society in 1795?,"Conic sections, an exhaustive survey of the history of which was presented in his book ""Sectionum conicarum libri septem"" (1792)."
What is non-standard analysis?,"Non-standard analysis is a branch of mathematics that allows for the use of infinitesimal and infinite numbers in mathematical calculations, providing an alternative approach to calculus and other areas of mathematics."
What is Abraham Wald's contribution to statistics known for?,"Abraham Wald's work on aircraft survivability led to a method of estimating plane vulnerability based on damage of survivors, and he also contributed to statistical decision theory, specifically with his book ""Statistical Decision Functions"" which introduced the concept of a statistical decision function."
What is the concept known as a linear set of points of fractal dimension discussed in Abram Besicovitch's 1929 paper?,"A set of points that exhibit self-similarity at multiple scales, having a non-integer dimension between 1 and 2."
